# Running gravitational simulaition with N = 2 bodies
#  m_1 = 1.9885e+30  m_2 = 5.9722e+24
# t  x_1  y_1  x_2  y_2
 0.00000e+00  3.00337e-06 -2.69681e-16 -1.00000e+00  8.97929e-11 
 7.10000e-03  3.00038e-06  1.33938e-07 -9.99005e-01 -4.45960e-02 
 7.20000e-03  3.00030e-06  1.35824e-07 -9.98977e-01 -4.52237e-02 
 7.30000e-03  3.00021e-06  1.37709e-07 -9.98948e-01 -4.58514e-02 
 7.40000e-03  3.00012e-06  1.39594e-07 -9.98919e-01 -4.64790e-02 
 7.50000e-03  3.00004e-06  1.41479e-07 -9.98890e-01 -4.71067e-02 
 7.60000e-03  2.99995e-06  1.43364e-07 -9.98860e-01 -4.77343e-02 
 7.70000e-03  2.99986e-06  1.45249e-07 -9.98830e-01 -4.83619e-02 
 7.80000e-03  2.99976e-06  1.47133e-07 -9.98799e-01 -4.89895e-02 
 7.90000e-03  2.99967e-06  1.49018e-07 -9.98768e-01 -4.96170e-02 
 8.00000e-03  2.99958e-06  1.50903e-07 -9.98737e-01 -5.02446e-02 
 8.10000e-03  2.99948e-06  1.52788e-07 -9.98705e-01 -5.08721e-02 
 8.20000e-03  2.99938e-06  1.54672e-07 -9.98673e-01 -5.14996e-02 
 8.30000e-03  2.99929e-06  1.56557e-07 -9.98640e-01 -5.21270e-02 
 8.40000e-03  2.99919e-06  1.58441e-07 -9.98608e-01 -5.27545e-02 
 8.50000e-03  2.99909e-06  1.60326e-07 -9.98574e-01 -5.33819e-02 
 8.60000e-03  2.99899e-06  1.62210e-07 -9.98540e-01 -5.40094e-02 
 8.70000e-03  2.99888e-06  1.64094e-07 -9.98506e-01 -5.46368e-02 
 8.80000e-03  2.99878e-06  1.65979e-07 -9.98472e-01 -5.52641e-02 
 8.90000e-03  2.99867e-06  1.67863e-07 -9.98437e-01 -5.58915e-02 
 9.00000e-03  2.99857e-06  1.69747e-07 -9.98402e-01 -5.65188e-02 
 9.10000e-03  2.99846e-06  1.71631e-07 -9.98366e-01 -5.71461e-02 
 9.20000e-03  2.99835e-06  1.73515e-07 -9.98330e-01 -5.77734e-02 
 9.30000e-03  2.99824e-06  1.75399e-07 -9.98293e-01 -5.84007e-02 
 9.40000e-03  2.99813e-06  1.77283e-07 -9.98256e-01 -5.90279e-02 
 9.50000e-03  2.99802e-06  1.79166e-07 -9.98219e-01 -5.96551e-02 
 9.60000e-03  2.99791e-06  1.81050e-07 -9.98181e-01 -6.02823e-02 
